OrderLineID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal
1,50000,2153,1,204.11,10.21,193.9
2,50000,2064,1,170.45,8.52,161.93
3,50000,2032,2,461.84,0.0,923.68
4,50000,2014,1,200.14,0.0,200.14
5,50000,2155,2,27.57,0.0,55.14
6,50001,2191,4,42.55,0.0,170.2
7,50002,2035,1,19.18,0.0,19.18
8,50002,2013,1,54.62,5.46,49.16
9,50002,2195,1,108.96,5.45,103.51
10,50003,2035,1,19.18,0.96,18.22
11,50003,2098,1,566.22,0.0,566.22
12,50003,2028,1,45.88,4.59,41.29
13,50004,2128,1,494.07,0.0,494.07
14,50004,2182,1,105.61,0.0,105.61
15,50004,2143,1,223.61,0.0,223.61
16,50005,2014,3,200.14,0.0,600.42
17,50005,2145,4,111.07,5.55,422.08
18,50005,2155,2,27.57,0.0,55.14
19,50006,2130,1,533.97,0.0,533.97
20,50006,2000,1,50.13,2.51,47.62
21,50007,2053,1,112.51,5.63,106.88
22,50007,2140,3,65.36,6.54,176.46
23,50008,2000,1,50.13,2.51,47.62
24,50008,2141,1,59.08,2.95,56.13
25,50008,2154,1,335.62,16.78,318.84
26,50009,2168,1,37.68,1.88,35.8
27,50009,2156,1,431.76,0.0,431.76
28,50009,2157,1,28.99,2.9,26.09
29,50009,2108,1,50.5,5.05,45.45
30,50009,2000,1,50.13,0.0,50.13
31,50009,2190,2,126.09,0.0,252.18
32,50010,2136,1,318.41,0.0,318.41
33,50010,2080,2,128.04,0.0,256.08
34,50010,2126,1,20.41,2.04,18.37
35,50011,2170,2,302.77,0.0,605.54
36,50011,2068,2,70.97,0.0,141.94
37,50011,2168,2,37.68,0.0,75.36
38,50011,2152,2,44.61,4.46,80.3
39,50012,2007,1,39.11,1.96,37.15
40,50013,2132,1,13.69,0.0,13.69
41,50013,2059,1,221.14,0.0,221.14
42,50013,2078,1,62.2,3.11,59.09
43,50014,2016,1,104.7,10.47,94.23
44,50014,2126,2,20.41,0.0,40.82
45,50014,2147,2,30.35,1.52,57.66
46,50014,2027,1,183.82,9.19,174.63
47,50014,2038,2,101.96,0.0,203.92
48,50015,2158,1,175.12,8.76,166.36
49,50015,2128,1,494.07,0.0,494.07
50,50015,2099,1,102.18,0.0,102.18
51,50015,2192,1,144.95,0.0,144.95
52,50016,2011,2,91.74,9.17,165.14
53,50016,2157,1,28.99,1.45,27.54
54,50016,2008,1,17.26,1.73,15.53
55,50016,2023,1,33.44,0.0,33.44
56,50017,2148,2,65.87,3.29,125.16
57,50017,2046,2,11.99,0.0,23.98
58,50017,2014,1,200.14,10.01,190.13
59,50017,2147,2,30.35,3.04,54.62
60,50018,2009,1,73.6,0.0,73.6
61,50018,2140,1,65.36,0.0,65.36
62,50018,2026,2,666.71,33.34,1266.74
63,50018,2034,2,302.18,30.22,543.92
64,50018,2009,1,73.6,0.0,73.6
65,50019,2167,1,134.88,0.0,134.88
66,50019,2012,1,60.15,3.01,57.14
67,50019,2163,3,102.99,10.3,278.07
68,50020,2159,4,36.3,1.82,137.92
69,50020,2044,4,82.05,0.0,328.2
70,50020,2160,1,592.81,0.0,592.81
71,50020,2085,1,89.46,8.95,80.51
72,50021,2109,1,124.48,0.0,124.48
73,50021,2064,1,170.45,0.0,170.45
74,50021,2192,1,144.95,14.5,130.45
75,50022,2034,1,302.18,15.11,287.07
76,50022,2012,1,60.15,0.0,60.15
77,50022,2054,4,179.51,0.0,718.04
78,50023,2110,2,52.91,0.0,105.82
79,50023,2087,1,79.43,7.94,71.49
80,50023,2185,1,41.8,2.09,39.71
81,50023,2008,1,17.26,0.0,17.26
82,50024,2003,2,356.32,0.0,712.64
83,50024,2097,1,63.6,0.0,63.6
84,50025,2035,1,19.18,1.92,17.26
85,50025,2017,1,13.74,0.0,13.74
86,50026,2083,1,22.05,1.1,20.95
87,50027,2138,1,12.39,1.24,11.15
88,50027,2041,1,264.53,13.23,251.3
89,50027,2127,3,43.97,2.2,125.31
90,50028,2047,1,226.66,0.0,226.66
91,50028,2034,3,302.18,30.22,815.88
92,50029,2036,1,34.15,0.0,34.15
93,50029,2099,1,102.18,5.11,97.07
94,50029,2190,1,126.09,0.0,126.09
95,50029,2125,2,40.86,4.09,73.54
96,50029,2156,3,431.76,0.0,1295.28
97,50030,2038,2,101.96,10.2,183.52
98,50030,2197,2,88.19,0.0,176.38
99,50030,2195,2,108.96,10.9,196.12
100,50031,2101,1,49.57,0.0,49.57
101,50031,2092,2,122.42,0.0,244.84
102,50031,2125,1,40.86,0.0,40.86
103,50032,2038,1,101.96,0.0,101.96
104,50033,2137,1,685.74,34.29,651.45
105,50033,2193,1,61.47,3.07,58.4
106,50034,2035,1,19.18,0.0,19.18
107,50034,2134,1,247.96,0.0,247.96
108,50034,2008,2,17.26,0.86,32.8
109,50034,2128,1,494.07,0.0,494.07
110,50035,2066,1,179.62,0.0,179.62
111,50035,2161,1,47.12,4.71,42.41
112,50035,2151,1,440.47,0.0,440.47
113,50035,2008,4,17.26,0.0,69.04
114,50036,2157,1,28.99,0.0,28.99
115,50036,2097,1,63.6,3.18,60.42
116,50036,2023,2,33.44,0.0,66.88
117,50036,2179,1,149.87,0.0,149.87
118,50036,2144,1,173.72,0.0,173.72
119,50036,2118,1,24.83,0.0,24.83
120,50037,2065,1,45.72,0.0,45.72
121,50037,2019,3,1405.22,0.0,4215.66
122,50037,2147,1,30.35,1.52,28.83
123,50037,2173,4,186.41,18.64,671.08
124,50037,2075,4,151.61,7.58,576.12
125,50038,2010,1,13.45,0.0,13.45
126,50038,2087,1,79.43,0.0,79.43
127,50038,2043,3,40.34,2.02,114.96
128,50038,2121,1,30.24,0.0,30.24
129,50038,2035,1,19.18,0.0,19.18
130,50039,2195,4,108.96,0.0,435.84
131,50039,2040,1,157.05,0.0,157.05
132,50040,2138,1,12.39,0.0,12.39
133,50040,2011,2,91.74,0.0,183.48
134,50040,2027,2,183.82,0.0,367.64
135,50040,2170,2,302.77,30.28,544.98
136,50040,2091,3,70.53,0.0,211.59
137,50040,2034,1,302.18,30.22,271.96
138,50041,2181,1,85.94,0.0,85.94
139,50041,2115,1,51.66,5.17,46.49
140,50041,2110,1,52.91,2.65,50.26
141,50041,2045,1,154.69,7.73,146.96
142,50041,2082,1,66.55,0.0,66.55
143,50041,2104,1,139.36,0.0,139.36
144,50042,2146,1,688.62,0.0,688.62
145,50042,2147,2,30.35,1.52,57.66
146,50042,2049,1,35.48,3.55,31.93
147,50043,2044,2,82.05,0.0,164.1
148,50043,2185,1,41.8,4.18,37.62
149,50044,2179,1,149.87,0.0,149.87
150,50044,2083,1,22.05,0.0,22.05
151,50045,2198,2,209.34,0.0,418.68
152,50045,2146,1,688.62,34.43,654.19
153,50045,2100,1,90.27,4.51,85.76
154,50045,2085,1,89.46,0.0,89.46
155,50045,2078,1,62.2,0.0,62.2
156,50045,2161,4,47.12,4.71,169.64
157,50046,2150,1,11.53,0.0,11.53
158,50046,2138,1,12.39,0.0,12.39
159,50046,2081,1,237.47,0.0,237.47
160,50046,2043,2,40.34,0.0,80.68
161,50047,2003,1,356.32,35.63,320.69
162,50047,2133,1,67.59,0.0,67.59
163,50047,2032,1,461.84,23.09,438.75
164,50047,2091,1,70.53,3.53,67.0
165,50047,2114,2,29.32,0.0,58.64
166,50048,2174,1,24.1,1.2,22.9
167,50049,2036,1,34.15,0.0,34.15
168,50050,2125,1,40.86,2.04,38.82
169,50050,2140,1,65.36,0.0,65.36
170,50050,2000,1,50.13,5.01,45.12
171,50050,2125,1,40.86,0.0,40.86
172,50051,2059,1,221.14,22.11,199.03
173,50051,2150,1,11.53,0.0,11.53
174,50051,2139,1,64.69,0.0,64.69
