OrderID,CustomerID,OrderDate,OrderTotal,NumLines,TotalQuantity,SalespersonID,Year,Quarter
50018,1387,2025-05-03,2023.22,5,7,14,2025,2
50029,1033,2025-04-23,1626.13,5,8,26,2025,2
50040,1485,2025-04-11,1592.04,6,11,2,2025,2
50050,1192,2025-06-16,190.16,4,4,24,2025,2
50056,1334,2025-05-06,336.97,2,3,15,2025,2
50112,1004,2025-05-22,448.88,3,4,17,2025,2
50118,1137,2025-06-18,333.58,4,4,4,2025,2
50120,1190,2025-04-14,588.12,3,6,14,2025,2
50124,1139,2025-05-05,326.3,4,5,30,2025,2
50132,1482,2025-05-14,365.35,3,3,19,2025,2
50135,1247,2025-04-01,377.89,4,5,17,2025,2
50142,1450,2025-05-08,541.3,3,5,15,2025,2
50164,1076,2025-05-09,621.92,3,3,18,2025,2
50169,1258,2025-05-19,839.62,6,9,6,2025,2
50170,1240,2025-05-22,623.17,4,4,1,2025,2
50171,1253,2025-06-09,2517.81,5,10,11,2025,2
50179,1206,2025-04-16,3029.59,3,7,16,2025,2
50200,1186,2025-04-25,1522.0,4,4,7,2025,2
50201,1027,2025-04-16,524.59,4,8,13,2025,2
50202,1114,2025-05-14,303.74,3,3,13,2025,2
50225,1061,2025-05-22,95.84,2,2,22,2025,2
50227,1234,2025-04-24,65.31,1,1,18,2025,2
50258,1231,2025-04-04,320.42,5,8,2,2025,2
50264,1280,2025-05-31,1523.44,3,6,22,2025,2
50283,1457,2025-05-11,615.72,6,7,19,2025,2
50285,1449,2025-05-17,1032.13,4,6,9,2025,2
50286,1216,2025-04-07,497.88,4,5,16,2025,2
50322,1440,2025-06-10,3099.26,4,6,17,2025,2
50323,1226,2025-04-29,605.83,2,2,1,2025,2
50350,1315,2025-05-13,614.46,3,6,15,2025,2
50401,1217,2025-05-05,200.14,1,1,11,2025,2
50403,1275,2025-04-28,2804.24,6,15,11,2025,2
50404,1359,2025-06-18,908.76,3,6,8,2025,2
50407,1331,2025-04-16,237.09,3,5,28,2025,2
50417,1294,2025-04-21,649.8,6,8,16,2025,2
50451,1283,2025-06-14,597.63,3,5,29,2025,2
50466,1315,2025-05-04,299.17,3,3,22,2025,2
50470,1290,2025-05-22,1038.75,5,5,17,2025,2
50471,1027,2025-05-21,567.22,2,3,3,2025,2
50491,1186,2025-04-07,837.22,5,6,6,2025,2
50498,1141,2025-05-10,179.38,3,4,14,2025,2
50501,1169,2025-06-17,400.53,3,3,16,2025,2
50508,1041,2025-05-11,851.6,3,4,2,2025,2
50509,1143,2025-05-29,189.7,3,3,19,2025,2
50535,1122,2025-05-18,1867.48,6,9,17,2025,2
50536,1493,2025-04-05,974.72,2,4,16,2025,2
50543,1337,2025-06-12,667.28,6,8,29,2025,2
50560,1324,2025-04-29,181.02,2,3,26,2025,2
50561,1140,2025-05-04,1526.22,4,9,8,2025,2
50568,1459,2025-05-05,21.97,2,2,19,2025,2
50573,1180,2025-04-16,549.58,2,5,18,2025,2
50588,1212,2025-04-10,554.86,5,10,29,2025,2
50594,1331,2025-05-03,240.8,4,4,21,2025,2
50630,1267,2025-05-30,66.3,2,2,27,2025,2
50644,1276,2025-04-27,329.59,2,2,21,2025,2
50652,1480,2025-04-01,124.36,2,2,10,2025,2
50663,1465,2025-05-29,843.3,6,6,14,2025,2
50665,1306,2025-06-16,826.66,4,7,5,2025,2
50680,1133,2025-05-25,732.59,3,4,28,2025,2
50695,1070,2025-05-25,259.2,1,2,28,2025,2
50709,1002,2025-04-03,1405.22,1,1,27,2025,2
50710,1046,2025-04-23,285.73,4,6,9,2025,2
50726,1103,2025-05-20,1777.26,4,6,24,2025,2
50727,1336,2025-04-03,1720.52,5,9,13,2025,2
50747,1371,2025-04-29,874.45,3,4,19,2025,2
50750,1493,2025-04-15,361.03,6,7,8,2025,2
50803,1103,2025-05-04,1505.25,4,5,7,2025,2
50804,1127,2025-05-06,920.61,4,6,16,2025,2
50839,1313,2025-06-01,634.84,2,2,28,2025,2
50849,1186,2025-05-24,978.79,4,9,22,2025,2
50854,1117,2025-04-13,132.39,1,1,6,2025,2
50856,1138,2025-04-03,520.41,5,5,1,2025,2
50858,1221,2025-05-26,272.99,2,3,16,2025,2
50866,1457,2025-05-19,3048.23,5,6,8,2025,2
50876,1110,2025-04-13,586.73,5,7,17,2025,2
50883,1285,2025-04-09,917.78,6,8,2,2025,2
50902,1327,2025-04-07,1100.98,2,4,27,2025,2
50906,1207,2025-05-19,379.0,4,4,30,2025,2
50916,1399,2025-06-02,1336.64,6,9,19,2025,2
50921,1094,2025-05-24,152.51,1,1,9,2025,2
50930,1032,2025-06-18,563.32,2,3,10,2025,2
50949,1239,2025-06-10,399.54,4,5,24,2025,2
50963,1116,2025-04-04,233.09,2,2,13,2025,2
50969,1267,2025-04-14,1679.92,5,7,25,2025,2
50970,1388,2025-05-18,326.39,4,5,23,2025,2
51031,1098,2025-05-11,542.97,4,5,28,2025,2
